Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,20/03/2016 11:18,FALSE,Dun Laoghaire Running,11.08,729,01:05:34,160,184,4.1,170,234,05:55,02:05,238,239,0.99,0,8.5,267,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/03/2016 07:19,FALSE,Dun Laoghaire Running,12,752,01:03:24,167,177,5,176,219,05:17,03:01,28,29,1.07,0,7.7,258,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/03/2016 08:37,FALSE,Dun Laoghaire Running,9.24,582,58:18:00,158,190,4.1,164,215,06:19,04:26,196,195,0.97,0,8.7,283,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/03/2016 08:06,FALSE,Dun Laoghaire Running,10.98,703,01:06:07,160,185,3.7,163,204,06:01,02:41,174,181,1.02,0,9,280,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,24/02/2016 09:34,FALSE,Dun Laoghaire Running,8.7,528,47:21:00,162,181,3.8,171,197,05:27,03:41,175,173,1.07,0,8.1,265,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,21/02/2016 10:18,FALSE,Crone to Maulin,9.35,759,01:19:36,159,184,4.4,140,255,08:31,02:58,459,463,0.84,0,7.7,348,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,19/02/2016 17:40,FALSE,Dun Laoghaire Running,7.76,474,41:57:00,163,183,4,169,197,05:24,03:30,149,144,1.09,0,7.9,277,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,14/02/2016 10:21,FALSE,Glenview to Sugarloaf,8.99,629,01:11:16,151,176,3.9,133,240,07:55,03:23,215,348,0.95,0,7.5,341,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/02/2016 17:29,FALSE,Dun Laoghaire Running,8.58,480,48:15:00,153,180,3.7,168,203,05:37,02:16,118,152,1.06,0,8.6,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,10/02/2016 14:58,FALSE,Dun Laoghaire Running,7.83,478,45:00:00,159,176,4.1,164,216,05:45,02:47,115,134,1.06,0,8.8,279,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,07/02/2016 10:13,FALSE,Bray Running,10.94,713,01:16:40,158,185,4.9,145,255,07:00,04:10,790,800,0.98,0,8.6,311,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,05/02/2016 11:23,FALSE,Kilkeel Running,8.18,529,49:50:00,162,184,5,160,171,06:06,04:18,92,114,1.03,0,9.4,282,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
cycling,31/01/2016 13:00,FALSE,Bray Cycling,20.05,491,01:00:42,142,176,4,--,--,19.8,52.7,228,281,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
cycling,31/01/2016 11:18,FALSE,Kilkeel Cycling,21.78,699,01:18:36,145,182,5,--,--,16.6,52.2,361,298,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,30/01/2016 17:54,FALSE,Dun Laoghaire Running,3.67,235,21:04,166,183,0,165,170,05:44,04:16,95,14,1.05,0,8.6,279,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/01/2016 18:16,FALSE,Dun Laoghaire Running,6.72,419,39:09:00,163,182,4.7,160,229,05:50,03:34,78,105,1.07,0,8.9,294,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,23/01/2016 11:31,FALSE,Dun Laoghaire Running,6.22,497,38:12:00,166,192,5,161,176,06:08,03:46,113,104,1.01,0,8.9,284,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
