Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
track_running,13/09/2017 17:46,FALSE,Dun Laoghaire Running,8.53,583,47:06:00,158,179,3.8,174,195,05:31,03:31,167,146,1.04,0,7.8,271,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,10/09/2017 17:57,FALSE,Dun Laoghaire Running,15.01,945,01:22:20,155,177,3.7,173,199,05:29,04:27,315,282,1.05,0,7.6,265,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,06/09/2017 19:13,FALSE,Dun Laoghaire Running,8.22,575,45:47:00,161,181,3.9,173,208,05:34,02:56,161,148,1.03,0,7.6,273,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,03/09/2017 18:36,FALSE,Dun Laoghaire Running,8.68,561,47:38:00,153,179,3.5,173,182,05:29,03:21,131,136,1.05,0,7.9,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,30/08/2017 19:23,FALSE,Dun Laoghaire Running,8.74,601,48:20:00,161,177,3.9,175,189,05:32,04:07,167,148,1.03,0,7.5,261,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,27/08/2017 18:46,FALSE,Dun Laoghaire Running,22.01,"1,423",02:01:18,158,172,5,175,204,05:31,01:51,107,116,1.04,0,7.5,266,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,23/08/2017 19:05,FALSE,Dun Laoghaire Running,9.57,661,52:27:00,167,185,4.8,176,244,05:29,03:38,196,176,1.03,0,7.3,272,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,21/08/2017 17:59,FALSE,Dublin 4 Running,14.85,914,01:37:44,146,167,3.1,163,240,06:35,04:00,111,27,0.93,0,8.6,288,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/08/2017 19:03,FALSE,Dun Laoghaire Running,7.46,523,41:25:00,166,188,4.8,176,255,05:33,03:57,154,139,1.02,0,7.3,274,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/08/2017 16:02,FALSE,Dublin 18 Running,13.81,877,01:19:27,159,183,4.5,175,188,05:45,04:19,271,267,0.99,0,7,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,09/08/2017 19:54,FALSE,Dun Laoghaire Running,10.18,741,56:05:00,170,190,5,170,180,05:31,03:53,175,184,1.07,0,7.8,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/08/2017 17:17,FALSE,Dun Laoghaire Running,7.25,448,40:08:00,151,183,3.6,162,173,05:32,04:31,104,165,1.11,0,8.9,283,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,03/08/2017 19:38,FALSE,Dun Laoghaire Running,8.69,598,47:29:00,165,192,5,174,183,05:28,04:19,154,136,1.05,0,7.2,277,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,23/07/2017 08:18,FALSE,Guadix Running,10.55,698,01:08:24,151,184,3.9,158,182,06:29,04:43,180,188,0.97,0,7.6,290,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,14/07/2017 08:11,FALSE,Guadix Running,10.6,732,01:02:46,156,184,4.2,165,184,05:55,03:45,181,189,1.02,0,7.8,291,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/07/2017 09:03,FALSE,Guadix Running,7.68,570,46:15:00,161,188,4.2,159,173,06:01,02:34,167,164,1.04,0,8.7,299,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,09/07/2017 08:16,FALSE,Guadix Running,11.05,762,01:06:51,155,181,3.4,164,192,06:03,04:49,189,189,1.01,0,8,289,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,02/07/2017 09:37,FALSE,Dun Laoghaire Running,10.57,727,56:51:00,165,191,4.7,174,186,05:23,03:39,193,183,1.07,0,7.6,267,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/06/2017 07:53,FALSE,Chicago Running,12.53,785,01:00:37,166,178,4.7,173,199,04:50,00:24,4,5,1.19,0,7.7,267,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,19/06/2017 06:14,FALSE,Saint Charles Running,5.63,363,29:02:00,161,179,3.4,175,217,05:09,03:48,9,29,1.11,0,7.8,263,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/06/2017 20:30,FALSE,Dun Laoghaire Running,8.67,587,47:37:00,160,184,4.2,179,193,05:29,03:28,165,151,1.02,0,7.1,263,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/06/2017 09:03,FALSE,Dun Laoghaire Running,10.57,675,57:54:00,157,182,4.2,179,207,05:29,02:40,212,202,1.02,0,6.7,260,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/06/2017 19:31,FALSE,Dun Laoghaire Running,8.19,516,45:12:00,154,183,3.8,171,184,05:31,04:20,167,150,1.06,0,7.8,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,03/06/2017 10:26,FALSE,Dun Laoghaire Running,10.48,730,59:50:00,162,187,5,167,179,05:43,04:08,180,181,1.05,0,8.1,281,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/05/2017 19:21,FALSE,Dun Laoghaire Running,8.69,609,49:05:00,162,183,4.8,171,185,05:39,04:27,159,145,1.03,0,7.6,279,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,28/05/2017 09:01,FALSE,Dun Laoghaire Running,8.18,512,45:58:00,153,183,3.9,172,183,05:37,04:29,152,151,1.04,0,7.7,275,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,20/05/2017 07:01,FALSE,Dun Laoghaire Running,8.7,578,49:44:00,153,178,4.5,174,196,05:43,04:50,171,147,1,0,7.9,251,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/05/2017 19:21,FALSE,Dun Laoghaire Running,7.79,520,42:13:00,165,190,4.8,175,184,05:25,04:22,111,111,0,0,7.9,252,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/05/2017 08:57,FALSE,Dun Laoghaire Running,7.48,483,39:54:00,161,186,4.4,176,183,05:20,03:48,124,116,0,0,7.7,243,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
